Northern,0.325
Interior,0.742
Vancouver_Coastal,1.25
Vancouver_Island,0.85
Fraser,1.8
Central_Vancouver_Island,
East_Kootenay,
Fraser_East,
Fraser_North,
Fraser_South,
Kootenay_Boundary,
North_Shore_/_Coast_Garibaldi,
North_Vancouver_Island,
Northeast,
Northern_Interior,0.14
Northwest,
Okanagan,
Out_of_Canada,
Richmond,
South_Vancouver_Island,
Thompson_Cariboo_Shuswap,
Unknown,
Barrie,
Belleville,
Brantford,
Brockville,
Chatham,
Cornwall,
Guelph,
Hamilton,
Kenora,
Kingston,
London,0.405
Mississauga,
New_Liskeard,
Newmarket,
North_Bay,
Oakville,0.548
Ottawa,
Owen_Sound,
Pembroke,
Peterborough,
Point_Edward,
Port_Hope,
Sault_Ste._Marie,
Simcoe,
St._Thomas,
Stratford,
Sudbury,
Thorold,
Thunder_Bay,
Timmins,
Toronto,2.9
Waterloo,0.618
Whitby,
Windsor,
